"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Anderson","17.82","75.11","21.49","0.68","0.9","0.14","1.67"
"Andrews","56.19","94.22","1.94","1.47","0.75","0.02","1.61"
"Angelina","22.18","81.27","15.44","0.75","1.17","0.06","1.31"
"Aransas","27.66","93.05","1.79","1.24","1.93","0.08","1.9"
"Archer","8.68","95.58","1.03","1.42","0.43","0.03","1.5"
"Armstrong","7.5","96.43","1.12","1.49","0.11","0","0.85"
"Atascosa","64.47","95.65","1.18","1.23","0.63","0.12","1.19"
"Austin","27.14","87.51","9.5","0.82","0.72","0.04","1.41"
"Bailey","64.29","92.54","1.95","3.28","0.85","0.13","1.26"
"Bandera","18.8","95.51","0.99","1.25","0.61","0.04","1.58"
"Bastrop","37.84","87.28","7.58","1.96","0.94","0.15","2.1"
"Baylor","13.15","93.88","2.99","0.7","0.36","0.08","1.98"
"Bee","59.08","88.3","8.89","0.84","0.64","0.11","1.22"
"Bell","24.81","66.11","24.04","1.08","3.26","0.89","4.62"
"Bexar","60.31","84.59","8.47","1.23","3.15","0.22","2.34"
"Blanco","19.66","94.56","1.68","1.25","0.89","0.09","1.53"
"Borden","19.47","95.1","1.49","0.74","0.15","0","2.53"
"Bosque","18.7","94.84","2.11","0.87","0.61","0.08","1.48"
"Bowie","7.76","70.21","25.05","1.03","1.29","0.09","2.34"
"Brazoria","30.64","76.04","14.2","0.84","6.81","0.1","2.02"
"Brazos","25.75","79.92","10.99","0.67","6.32","0.11","2"
"Brewster","45.41","93.09","1.49","1.77","1.24","0.14","2.27"
"Briscoe","25.39","93.46","3.21","0.72","0.33","0","2.29"
"Brooks","89.8","95.44","0.98","0.65","2.5","0.04","0.39"
"Brown","22.35","92.62","3.94","0.83","0.83","0.08","1.71"
"Burleson","20.63","84.08","12.76","1.08","0.38","0.04","1.65"
"Burnet","22.5","94.55","2.05","1.18","0.73","0.08","1.41"
"Caldwell","52.27","88.97","6.52","1.59","1.05","0.1","1.76"
"Calhoun","48.76","89.51","3.06","0.87","5.18","0.06","1.32"
"Callahan","9.8","94.92","1.69","0.83","0.61","0.06","1.89"
"Cameron","89.72","97.13","0.81","0.66","0.79","0.07","0.55"
"Camp","25.06","78.74","16.65","0.99","0.93","0.16","2.54"
"Carson","10.23","95.09","0.81","1.61","0.45","0.05","1.99"
"Cass","4.53","80.36","16.84","0.65","0.49","0.05","1.6"
"Castro","65.41","93.96","2.6","1.8","0.64","0.01","0.99"
"Chambers","22.28","87.56","8.39","1","1.38","0.11","1.56"
"Cherokee","23.28","81.29","14.52","1.6","0.59","0.05","1.95"
"Childress","30.93","86.73","10.17","0.92","0.69","0.03","1.46"
"Clay","6.11","95","0.83","1.44","0.43","0.03","2.26"
"Cochran","58.08","91.13","4.42","2.81","0.42","0.25","0.98"
"Coke","21.17","94.77","0.88","2.45","0.15","0.03","1.72"
"Coleman","17.78","92.43","3.23","1.4","0.96","0.04","1.95"
"Collin","15.31","71.31","10.16","0.7","15.05","0.09","2.69"
"Collingsworth","34.15","88.48","6.23","2.98","0.54","0","1.77"
"Colorado","29.88","83.68","12.91","1.1","0.8","0.08","1.44"
"Comal","27.52","93.64","2.42","0.85","1.2","0.09","1.81"
"Comanche","27.95","95.76","1.06","1.32","0.53","0.05","1.27"
"Concho","36.62","95.03","1.8","0.88","1.25","0.04","0.99"
"Cooke","18.15","92.12","3.41","1.46","1.13","0.05","1.83"
"Coryell","18.29","73.76","17.49","1.12","2.14","0.89","4.6"
"Cottle","24.44","87.45","9.66","0.72","0.07","0.07","2.02"
"Crane","63.31","91.98","3.8","1.67","0.89","0.13","1.54"
"Crockett","65.68","94","1.66","2.16","0.87","0.08","1.23"
"Crosby","56.28","93.02","3.87","1.1","0.22","0.07","1.73"
"Culberson","73.11","91.21","1.08","2.6","2.11","0.04","2.96"
"Dallam","46.59","92.79","2.15","2.23","1.07","0.19","1.57"
"Dallas","40.23","66.94","23.44","1.1","6.53","0.11","1.88"
"Dawson","57.43","89.94","6.19","1.19","1.08","0.13","1.48"
"Deaf Smith","73.06","94.64","1.83","1.74","0.57","0.08","1.13"
"Delta","7.57","87.28","6.49","2.43","0.72","0.06","3.02"
"Denton","19.45","77.17","10.25","0.85","9.02","0.11","2.6"
"DeWitt","35.32","87.81","9.63","0.92","0.38","0.03","1.23"
"Dickens","29.56","88.86","5.66","2.26","1.31","0.09","1.81"
"Dimmit","87.46","96.11","1.58","0.75","0.71","0.02","0.83"
"Donley","11.24","91.69","5.1","0.85","0.63","0.06","1.66"
"Duval","89.56","96.62","1.42","0.81","0.44","0.12","0.59"
"Eastland","16.59","94.58","2.12","1.18","0.64","0.06","1.41"
"Ector","60.58","90.52","5.12","1.42","1.25","0.22","1.47"
"Edwards","55.09","95.34","0.97","2.15","0.82","0","0.72"
"El Paso","82.81","91.98","3.94","1.04","1.34","0.22","1.48"
"Ellis","26.33","85.53","10.81","0.86","0.77","0.14","1.89"
"Erath","21.36","94.47","1.88","1.32","0.77","0.09","1.48"
"Falls","23.34","71.99","24.46","1.1","0.53","0.21","1.71"
"Fannin","11.05","88.94","6.78","1.32","0.75","0.08","2.13"
"Fayette","21.29","90.52","6.52","1.21","0.44","0.06","1.25"
"Fisher","28.35","91.8","4.12","1.13","0.54","0.18","2.22"
"Floyd","59.04","91.94","4.01","1.42","0.48","0.02","2.13"
"Foard","17.76","92.23","4.75","0.65","1.06","0","1.31"
"Fort Bend","24.49","55.66","21.07","0.6","20.36","0.09","2.21"
"Franklin","14.54","92.24","3.93","1.1","0.92","0.04","1.78"
"Freestone","15.4","79.94","16.19","1.35","0.67","0.03","1.83"
"Frio","79.19","91.58","3.89","1.02","2.51","0.03","0.97"
"Gaines","41.92","94.97","2.16","1.06","0.42","0.08","1.31"
"Galveston","24.57","80.14","13.38","0.8","3.52","0.1","2.06"
"Garza","52.02","89.83","7.51","0.87","0.47","0.09","1.23"
"Gillespie","23.53","96.66","0.65","1.14","0.43","0.14","0.96"
"Glasscock","37.17","97.11","1.63","0.37","0.07","0.15","0.67"
"Goliad","36.43","92.03","5.13","1.03","0.46","0.03","1.32"
"Gonzales","50.98","88.9","7.42","1.81","0.52","0.12","1.23"
"Gray","28.91","90.23","5.34","1.55","0.67","0","2.2"
"Grayson","13.4","87.8","6.23","1.81","1.39","0.08","2.69"
